"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"67AAMDPS","journalArticle","2012","","A review of agricultural crop residue supply in Canada for cellulosic ethanol production","Renewable and Sustainable Energy Reviews","","1364-0321","10.1016/j.rser.2012.02.013","https://www.sciencedirect.com/science/article/pii/S1364032112001062","This paper estimates the availability of agricultural crop residue feedstocks in Canada for cellulosic ethanol production. Canada's major field crops …","2012-06-01","2026-06-01 20:58:36","2026-06-01 20:58:36","2026-06-01 20:58:36","2954-2965","","5","16","","","","","","","","Pergamon","","en-US","","","","","www.sciencedirect.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFAZHSYL","journalArticle","2017","","Carbon capture and storage technologies: present scenario and drivers of innovation","Current Opinion in Chemical Engineering","","2211-3398","10.1016/j.coche.2017.05.004","https://www.sciencedirect.com/science/article/pii/S2211339817300126","Carbon capture and storage (CCS) technologies are being developed to comply with the intensification of environmental laws and policies. Techniques fo…","2017-08-01","2026-06-05 04:09:01","2026-06-05 04:09:01","2026-06-05 04:09:01","22-34","","","17","","","Carbon capture and storage technologies","","","","","Elsevier","","en-US","","","","","www.sciencedirect.com","","","","C:\Users\jkail\Zotero\storage\2URVCCC6\S2211339817300126.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J66U8Q4U","journalArticle","2022","Richter, Sören; Szarka, Nora; Bezama, Alberto; Thrän, Daniela","What Drives a Future German Bioeconomy? A Narrative and STEEPLE Analysis for Explorative Characterisation of Scenario Drivers","Sustainability","","2071-1050","10.3390/su14053045","https://www.mdpi.com/2071-1050/14/5/3045","A future bioeconomy pursues the transformation of the resource base from fossil to renewable materials in an effort to develop a holistic, sustainable production and provision system. While the significance of this change in the German context is not yet entirely explored, scenarios analysing possible pathways could support the understanding of these changes and their systemic implications. Bioeconomy in detail depends on respective framework conditions, such as the availability of biomass or technological research priorities. Thus, for scenario creation, transferable methods for flexible input settings are needed. Addressing this issue, the study identifies relevant bioeconomy scenario drivers. With the theoretical approach of narrative analysis, 92 statements of the German National Bioeconomy Strategy 2020 have been evaluated and 21 international studies in a STEEPLE framework were assessed. For a future German bioeconomy 19 important drivers could be determined and specific aspects of the resource base, production processes and products as well as overarching issues were exploratively characterised on a quantitative and qualitative basis. The developed method demonstrate an approach for a transparent scenario driver identification that is applicable to other strategy papers. The results illustrate a possible future German bioeconomy that is resource- and technology-driven by following a value-based objective, and which is supplied by biogenic residue and side product feedstocks. As such, the bioeconomy scenario drivers can be used as a starting point for future research like scenario development or modelling of a future German bioeconomy.","2022-01","2026-06-20 00:46:40","2026-06-20 00:46:40","2026-06-20 00:46:40","3045","","5","14","","","What Drives a Future German Bioeconomy?","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","C:\Users\jkail\Zotero\storage\XI5HYAQQ\Richter et al. - 2022 - What Drives a Future German Bioeconomy A Narrative and STEEPLE Analysis for Explorative Characteris.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3PUMDYK","journalArticle","","","Factsheets for biobased CO2 removal options in Germany","","","","","","","","2026-06-21 18:24:01","2026-06-21 18:24:01","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\B68HKZ9N\Factsheets for biobased CO2 removal options in Germany.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPEWKILK","webpage","","Reznowski, Gabriella","LibGuides: Industry Research: PESTEL Analysis","","","","","https://libguides.libraries.wsu.edu/c.php?g=294263&p=4358409","Step-by-step guide for conducting industry research with links to sources of information","","2026-06-21 20:13:15","2026-06-21 20:13:15","2026-06-21 20:13:15","","","","","","","LibGuides","","","","","","","en","Copyright Washington State University 2026","","","","","","","","C:\Users\jkail\Zotero\storage\3YSXCHWQ\c.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E54WETIR","webpage","","","Systems Dynamics - an overview | ScienceDirect Topics","","","","","https://www.sciencedirect.com/topics/engineering/systems-dynamics","","","2026-06-28 23:21:15","2026-06-28 23:21:15","2026-06-28 23:21:15","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jkail\Zotero\storage\9DH6X3K5\systems-dynamics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VPIL5U4","webpage","","","Natural Resources Canada","","","","","https://natural-resources.canada.ca/","","","2026-07-08 21:28:38","2026-07-08 21:28:38","2026-07-08 21:28:38","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jkail\Zotero\storage\9PCBEFG6\natural-resources.canada.ca.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8C6SFWTZ","webpage","2026","Canada, Natural Resources","The State of Canada’s Forests: Annual Report 2025","","","","","https://natural-resources.canada.ca/forests-forestry/state-canada-forests/state-canada-s-forests-annual-report-2025","Information on the social, economic and environmental state of Canada’s forests","2026-01-15","2026-07-08 21:28:59","2026-07-08 21:28:59","2026-07-08 21:28:59","","","","","","","The State of Canada’s Forests","","","","","","","eng","","","","","","","Last Modified: 2026-05-20","","C:\Users\jkail\Zotero\storage\CBVACBTR\state-canada-s-forests-annual-report-2025.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLZRXP93","webpage","","Vizzuality","Alberta, Canada Deforestation Rates & Statistics | GFW","","","","","https://www.globalforestwatch.org/dashboards/country/CAN/1?category=undefined","In 2020, Alberta had 29 Mha of natural forest, extending over 44% of its land area. In {year}, it lost 570 kha of natural forest, equivalent to 300 Mt of CO₂ emissions.","","2026-07-08 22:55:02","2026-07-08 22:55:02","2026-07-08 22:55:02","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\jkail\Zotero\storage\55IMTGRT\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTNJN79S","webpage","","","The State of Canada’s Forests: Annual Report 2025 - Natural Resources Canada","","","","","https://natural-resources.canada.ca/forests-forestry/state-canada-forests/state-canada-s-forests-annual-report-2025#_Indicator_:_Forest","","","2026-07-08 23:16:02","2026-07-08 23:16:02","2026-07-08 23:16:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLGFPUSB","webpage","","Canada, Natural Resources","Domestic production","","","","","https://cfs.cloud.nrcan.gc.ca/statsprofile/investment/domestic-production.html","","","2026-07-09 21:08:52","2026-07-09 21:08:52","2026-07-09 21:08:52","","","","","","","","","","","","","","eng","","","","","","","Last Modified: 2026-03-31","","C:\Users\jkail\Zotero\storage\KL6I6E9E\domestic-production.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJXEITTF","journalArticle","","Welling, Harald H; Shaw, Thom J","Energy From Wood Biomass Combustion In Rural Alberta Applications","","","","","","","","2026-07-09 21:10:58","2026-07-09 21:10:58","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\7N2QFJTW\Welling and Shaw - Energy From Wood Biomass Combustion In Rural Alberta Applications.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4FAE9TT","dataset","","Statistics Canada","Lumber production, shipments, and stocks by species, monthly","","","","10.25318/1610001701-ENG","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610001701","Lumber, monthly production, shipments and stocks by species; data in thousands of cubic metres.","","2026-07-09 21:12:08","2026-07-09 21:12:08","2026-07-09 21:12:08","","","","","","","","","","","","Government of Canada","","","","","","","DOI.org (Datacite)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAVTBRTC","webpage","","","Lumber production, shipments, and stocks by species, monthly","","","","","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610001701&pickMembers%5B0%5D=1.10&cubeTimeFrame.startMonth=01&cubeTimeFrame.startYear=2024&cubeTimeFrame.endMonth=12&cubeTimeFrame.endYear=2024&referencePeriods=20240101%2C20241201","","","2026-07-09 21:13:47","2026-07-09 21:13:47","2026-07-09 21:13:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A9FNDKHH","journalArticle","2021","Titus, Brian D.; Brown, Kevin; Helmisaari, Heljä-Sisko; Vanguelova, Elena; Stupak, Inge; Evans, Alexander; Clarke, Nicholas; Guidi, Claudia; Bruckman, Viktor J.; Varnagiryte-Kabasinskiene, Iveta; Armolaitis, Kęstutis; de Vries, Wim; Hirai, Keizo; Kaarakka, Lilli; Hogg, Karen; Reece, Pam","Sustainable forest biomass: a review of current residue harvesting guidelines","Energy, Sustainability and Society","","2192-0567","10.1186/s13705-021-00281-w","https://doi.org/10.1186/s13705-021-00281-w","Forest biomass harvesting guidelines help ensure the ecological sustainability of forest residue harvesting for bioenergy and bioproducts, and hence contribute to social license for a growing bioeconomy. Guidelines, typically voluntary, provide a means to achieve outcomes often required by legislation, and must address needs related to local or regional context, jurisdictional compatibility with regulations, issues of temporal and spatial scale, and incorporation of appropriate scientific information. Given this complexity, comprehensive reviews of existing guidelines can aid in development of new guidelines or revision of existing ones. We reviewed 32 guidelines covering 43 jurisdictions in the USA, Canada, Europe and East Asia to expand upon information evaluated and recommendations provided in previous guideline reviews, and compiled a searchable spreadsheet of direct quotations from documents as a foundation for our review. Guidelines were considered in the context of sustainable forest management (SFM), focusing on guideline scope and objectives, environmental sustainability concerns (soils, site productivity, biodiversity, water and carbon) and social concerns (visual aesthetics, recreation, and preservation of cultural, historical and archaeological sites). We discuss the role of guidelines within the context of other governance mechanisms such as SFM policies, trade regulations and non-state market-driven (NSMD) standards, including certification systems. The review provides a comprehensive resource for those developing guidelines, or defining sustainability standards for market access or compliance with public regulations, and/or concerned about the sustainability of forest biomass harvesting. We recommend that those developing or updating guidelines consider (i) the importance of well-defined and understood terminology, consistent where possible with guidelines in other jurisdictions or regions; (ii) guidance based on locally relevant research, and periodically updated to incorporate current knowledge and operational experience; (iii) use of indicators of sensitive soils, sites, and stands which are relevant to ecological processes and can be applied operationally; and (iv) incorporation of climate impacts, long-term soil carbon storage, and general carbon balance considerations when defining sustainable forest biomass availability. Successful implementation of guidelines depends both on the relevance of the information and on the process used to develop and communicate it; hence, appropriate stakeholders should be involved early in guideline development.","2021-04-14","2026-07-09 21:14:40","2026-07-09 21:14:40","2026-07-09 21:14:40","10","","1","11","","Energ Sustain Soc","Sustainable forest biomass","","","","","","","en","","","","","Springer Link","","","","C:\Users\jkail\Zotero\storage\P83BJRGB\Titus et al. - 2021 - Sustainable forest biomass a review of current residue harvesting guidelines.pdf","","","Biodiversity; Carbon; Forest biomass; Governance; Guidelines; Harvesting residue removal; Review; Soil; Sustainability; Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KZN828R","webpage","2019","Government of Canada, Statistics Canada","British Columbia lumber production, monthly","","","","","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610001705","Lumber, monthly production, by species, for British Columbia; data in thousands of cubic metres.","2019-04-17","2026-07-09 21:16:57","2026-07-09 21:16:57","2026-07-09 21:16:57","","","","","","","","","","","","","","eng","","","","","","","Last Modified: 2026-07-06","","C:\Users\jkail\Zotero\storage\CCYEA24R\tv.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMV2UY4Y","webpage","2026","Canada, Agriculture and Agri-Food","Canada: Outlook for Principal Field Crops, 2026-05-21","","","","","https://agriculture.canada.ca/en/sector/crops/reports-statistics/canada-outlook-principal-field-crops-2026-05-21","Canada: Outlook for Principal Field Crops (PDF version, 536 KB)","2026-05-26","2026-07-09 21:19:05","2026-07-09 21:19:05","2026-07-09 21:19:05","","","","","","","Canada","","","","","","","eng","","","","","","","Last Modified: 2026-05-26","","C:\Users\jkail\Zotero\storage\3C4CI47L\canada-outlook-principal-field-crops-2026-05-21.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WENX9LI6","journalArticle","2012","Li, Xue; Mupondwa, Edmund; Panigrahi, Satya; Tabil, Lope; Sokhansanj, Shahab; Stumborg, Mark","A review of agricultural crop residue supply in Canada for cellulosic ethanol production","Renewable and Sustainable Energy Reviews","","1364-0321","10.1016/j.rser.2012.02.013","https://www.sciencedirect.com/science/article/pii/S1364032112001062","This paper estimates the availability of agricultural crop residue feedstocks in Canada for cellulosic ethanol production. Canada's major field crops generate 100.6million dry mega grams (Mg) of crops per year while non-forage crops produce 67 million dry Mg, leaving abundant agricultural residues for use as second generation feedstock for cellulosic ethanol production. This study used crop production and livestock data from Statistics Canada for a 10-year period (2001–2010), as well as tillage data from Statistics Canada census years 2001 and 2006, to estimate crop residue availability by province and soil zone. Total residue yield from crops is calculated by incorporating straw to grain ratios. Total agricultural residues available for ethanol production are computed by deducting soil conservation and livestock uses. An average of 48 million dry Mg of agricultural residues is available per year, with a minimum of 24.5 million dry Mg in drought year 2002. This implies an average yearly potential ethanol production of 13 billion litres from crop residues over the 2001–2010 period, with a minimum of 6.6 billion litres in 2002. Ontario, Manitoba, Saskatchewan, and Quebec have enough agricultural residue supply to set up ethanol plants using agricultural crop residues as primary lignocellulosic feedstocks. There is great variability in agricultural residue production between the provinces and by soil zone. Understanding variability in feedstock supply is important for the economics and operational planning of a cellulosic ethanol biorefinery. Factors such as residue yield per hectare and soil zone will influence cellulosic ethanol plant establishment in order to exploit the abundance of lignocellulosic biomass for an ethanol plant.","2012-06-01","2026-07-09 21:19:58","2026-07-09 21:19:58","2026-07-09 21:19:58","2954-2965","","5","16","","Renewable and Sustainable Energy Reviews","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\jkail\Zotero\storage\4YSM94TB\S1364032112001062.html","","","Canada; Available straw; Cellulosic bioethanol; Crop production; Straw yield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MB79XXLL","journalArticle","","","Fast Stats 2020 British Columbia’s Agriculture, Food and Seafood Sector","","","","","","","","2026-07-09 21:21:15","2026-07-09 21:21:15","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\PXVLIS7C\Fast Stats 2020 British Columbia’s Agriculture, Food and Seafood Sector.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXAT3JW9","webpage","2026","","Livestock statistics | Alberta.ca","","","","","https://www.alberta.ca/livestock-statistics","Issues and trends for the agriculture and agri-food industries, including the Weekly Livestock Market Review.","2026-07-08","2026-07-09 21:22:39","2026-07-09 21:22:39","2026-07-09 21:22:39","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\jkail\Zotero\storage\FZG7JCU5\livestock-statistics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WEDY3M7","webpage","","","21-021-MIE - Appendix - Manure production (as excreted) coefficients, Canada, 2001","","","","","https://www150.statcan.gc.ca/n1/pub/21-021-m/2004001/t/4144625-eng.htm?","","","2026-07-09 21:23:13","2026-07-09 21:23:13","2026-07-09 21:23:13","","","","","","","","","","","","","","eng","","","","","","","","","C:\Users\jkail\Zotero\storage\NCPVJDET\4144625-eng.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVGSHMKY","journalArticle","2024","","July 1, 2024 Livestock Inventory Estimates","","","","","","","2024","2026-07-09 21:23:39","2026-07-09 21:23:39","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\8HDAFGRB\2024 - July 1, 2024 Livestock Inventory Estimates.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EL6YL8M","webpage","2019","Government of Canada, Statistics Canada","Wastewater volumes processed by municipal sewage systems","","","","","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810009901","Wastewater (sewage) volumes by month, province, territory and drainage region.","2019-06-25","2026-07-09 21:30:12","2026-07-09 21:30:12","2026-07-09 21:30:12","","","","","","","","","","","","","","eng","","","","","","","Last Modified: 2026-06-30","","C:\Users\jkail\Zotero\storage\5QWDC23D\tv.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JGVWVBL","journalArticle","","Boundy, Bob; Davis, Stacy C","Biomass Energy Data Book: Edition 3","","","","","","","","2026-07-27 22:59:18","2026-07-27 22:59:19","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\4N8C6QHH\Boundy and Davis - Biomass Energy Data Book Edition 3.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KNR9FKV","webpage","","","Biomass Energy - an overview | ScienceDirect Topics","","","","","https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/biomass-energy","","","2026-08-24 16:51:04","2026-08-24 16:51:04","2026-08-24 16:51:04","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jkail\Zotero\storage\B9UHJDHZ\biomass-energy.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
